station_id;station_name;latitude;longitude
1611400;Nawiliwili, HI;21.9544;-159.3561
1612340;Honolulu, HI;21.3067;-157.8670
1612480;Mokuoloe, HI;21.4331;-157.7900
1615680;Kahului, Kahului Harbor, HI;20.8950;-156.4767
1617433;Kawaihae, HI;20.0366;-155.8294
1617760;Hilo, Hilo Bay, Kuhio Bay, HI;19.7303;-155.0600
1619910;Sand Island, Midway Islands, United States of America;28.2117;-177.3600
1630000;Apra Harbor, Guam, United States of America;13.4434;144.6564
1631428;Pago Bay, Guam, United States of America;13.4283;144.7969
1770000;Pago Pago, American Samoa, American Samoa;-14.2767;-170.6894
1820000;Kwajalein, Marshall Islands, United States of America;8,7317;167.7361
1890000;Wake Island, Pacific Ocean, United States of America;19.2906;166.6175
2695535;Bermuda Biological Station;32.3700;-64.6950
2695540;Bermuda, St. Georges Island, Bermuda;32.3733;-64.7033
8311030;Ogdensburg, NY;44.7017;-75.4940
8311062;Alexandria Bay, NY;44.3311;-75.9345
8410140;Eastport, ME;44.9046;-66.9829
8411060;Cutler Farris Wharf, ME;44.6570;-67.2047
8413320;Bar Harbor, ME;44.3922;-68.2043
8418150;Portland, ME;43.6581;-70.2442
8419317;Wells, ME;43.3200;-70.5633
8419870;Seavey Island, ME;43.0797;-70.7410
8443970;Boston, MA;42.3539;-71.0503
8447386;Fall River, MA;41.7043;-71.1641
8447435;Chatham, Lydia Cove, MA;41.6881;-69.9508
8447930;Woods Hole, MA;41.5236;-70.6711
8449130;Nantucket Island, MA;41.2853;-70.0964
8452660;Newport, RI;41.5043;-71.3261
8452944;Conimicut Light, RI;41.7167;-71.3433
8454000;Providence, RI;41.8071;-71.4012
8454049;Quonset Point, RI;41.5869;-71.4100
8461490;New London, CT;41.3717;-72.0955
8465705;New Haven, CT;41.2833;-72.9083
8467150;Bridgeport, CT;41.1733;-73.1817
8510560;Montauk, NY;41.0483;-71.9594
8516945;Kings Point, NY;40.8103;-73.7650
8518750;The Battery, NY;40.7006;-74.0142
8518962;Turkey Point Hudson River NERRS, NY;42.0142;-73.9392
8519483;Bergen Point West Reach, NY;40.6391;-74.1463
8531680;Sandy Hook, NJ;40.4669;-74.0094
8534720;Atlantic City, NJ;39.3567;-74.4181
8536110;Cape May, NJ;38.9683;-74.9600
8537121;Ship John Shoal, NJ;39.3050;-75.3750
8539094;Burlington, Delaware River, NJ;40.0817;-74.8697
8540433;Marcus Hook, PA;39.8117;-75.4094
8545240;Philadelphia, PA;39.9333;-75.1417
8546252;Bridesburg, PA;39.9833;-75.0750
8548989;Newbold, PA;40.1367;-74.7517
8551762;Delaware City, DE;39.5817;-75.5883
8551910;Reedy Point, DE;39.5583;-75.5719
8555889;Brandywine Shoal Light, DE;38.9870;-75.1130
8557380;Lewes, DE;38.7817;-75.1200
8570283;Ocean City Inlet, MD;38.3283;-75.0911
8571421;Bishops Head, MD;38.2200;-76.0383
8571892;Cambridge, MD;38.5725;-76.0617
8573364;Tolchester Beach, MD;39.2134;-76.2445
8573927;Chesapeake City, MD;39.5267;-75.8100
8574680;Baltimore, Fort McHenry, Patapsco River, MD;39.2669;-76.5794
